collection_id,patientID,StudyInstanceUID,SeriesInstanceUID,SOPInstanceUID,gcs_url,md5_hash
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.5.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3391.dcm,2bb2532e98c23ad22f24999fc1535160
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.7.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3395.dcm,5127621a00ab3a4b5ca47459e8dbe74f
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.9.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3399.dcm,0cf5b14401cf4cba269685550d5705be
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.11.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3403.dcm,68f73b927a6a816c1a6a4fd2032b9fdc
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.13.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3407.dcm,662d561883f3ba1d7dffbc3694916d09
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.15.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3411.dcm,9c1622fbe4b1008b12e301b134b9910b
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.17.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3415.dcm,e7385738797b1c65f2f813ad76bff650
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.19.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3419.dcm,86a1e85c1f0c7ca0787ee369998a065e
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.21.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3423.dcm,1c520585a0bfa10969d34a777cd84913
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.23.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3427.dcm,3b814049a900751dafb1f47ab4670cfd
